                                    Model  Accuracy     AUC  Recall   Prec.  \
gbc          Gradient Boosting Classifier    0.8015  0.0000  0.8015  0.8040
lightgbm  Light Gradient Boosting Machine    0.7991  0.9041  0.7991  0.7998
rf               Random Forest Classifier    0.7921  0.8874  0.7921  0.7910
lr                    Logistic Regression    0.7816  0.0000  0.7816  0.7854
et                 Extra Trees Classifier    0.7653  0.8646  0.7653  0.7609
ada                  Ada Boost Classifier    0.7620  0.0000  0.7620  0.7532
lda          Linear Discriminant Analysis    0.7618  0.0000  0.7618  0.7694
svm                   SVM - Linear Kernel    0.7515  0.0000  0.7515  0.7601
ridge                    Ridge Classifier    0.7467  0.0000  0.7467  0.6836
dt               Decision Tree Classifier    0.7277  0.7533  0.7277  0.7288
knn                K Neighbors Classifier    0.7228  0.8064  0.7228  0.7139
qda       Quadratic Discriminant Analysis    0.6061  0.0000  0.6061  0.6443
nb                            Naive Bayes    0.6008  0.7259  0.6008  0.6157
dummy                    Dummy Classifier    0.5850  0.5000  0.5850  0.3422

              F1   Kappa     MCC  TT (Sec)
gbc       0.7934  0.6222  0.6340     5.273
lightgbm  0.7927  0.6216  0.6302     1.407
rf        0.7853  0.6091  0.6169     1.407
lr        0.7656  0.5741  0.5937     0.647
et        0.7593  0.5641  0.5686     1.105
ada       0.7445  0.5423  0.5553     0.632
lda       0.7324  0.5174  0.5559     0.166
svm       0.7009  0.4903  0.5348     0.330
ridge     0.6864  0.4681  0.5297     0.165
dt        0.7281  0.5183  0.5185     0.257
knn       0.7112  0.4738  0.4822     0.221
qda       0.6058  0.3585  0.3722     0.148
nb        0.6018  0.3228  0.3276     0.162
dummy     0.4318  0.0000  0.0000     0.148
