Student_id,Code_module,Assessment_score,Student_sum_click,Region,Highest_education,Student_final_result
11391,AAA,82.39999999999999,934.0,East Anglian Region,HE Qualification,Pass
28400,AAA,65.4,1435.0,Scotland,HE Qualification,Pass
31604,AAA,76.30000000000001,2158.0,South East Region,A Level or Equivalent,Pass
32885,AAA,55.0,1034.0,West Midlands Region,Lower Than A Level,Pass
38053,AAA,66.9,2445.0,Wales,A Level or Equivalent,Pass
45462,AAA,67.8,1492.0,Scotland,HE Qualification,Pass
45642,AAA,72.5,1428.0,North Western Region,A Level or Equivalent,Pass
52130,AAA,71.19999999999999,1894.0,East Anglian Region,A Level or Equivalent,Pass
53025,AAA,79.0,3158.0,North Region,Post Graduate Qualification,Pass
57506,AAA,74.0,1319.0,South Region,Lower Than A Level,Pass
58873,AAA,73.7,1732.0,East Anglian Region,A Level or Equivalent,Pass
59185,AAA,80.8,1102.0,East Anglian Region,Lower Than A Level,Pass
62155,AAA,76.39999999999999,3388.0,North Western Region,HE Qualification,Pass
63400,AAA,71.2,2737.0,Scotland,Lower Than A Level,Pass
70464,AAA,53.5,1053.0,West Midlands Region,A Level or Equivalent,Pass
71361,AAA,79.69999999999999,2327.0,Ireland,HE Qualification,Pass
74372,AAA,32.8,116.0,East Anglian Region,A Level or Equivalent,Fail
75091,AAA,65.80000000000001,2992.0,South West Region,A Level or Equivalent,Pass
77367,AAA,69.5,680.0,East Midlands Region,A Level or Equivalent,Pass
91265,AAA,69.0,1494.0,North Western Region,HE Qualification,Pass
98094,AAA,60.6,2839.0,Wales,Lower Than A Level,Pass
100893,AAA,68.7,744.0,Yorkshire Region,A Level or Equivalent,Pass
101781,AAA,71.60000000000001,4104.0,South Region,Lower Than A Level,Pass
102806,AAA,76.0,1944.0,North Western Region,A Level or Equivalent,Pass
102952,AAA,77.10000000000001,1150.0,London Region,HE Qualification,Pass
104476,AAA,78.9,4777.0,Ireland,Post Graduate Qualification,Pass
106577,AAA,54.2,733.0,East Midlands Region,Lower Than A Level,Pass
110175,AAA,63.7,998.0,East Anglian Region,HE Qualification,Pass
111717,AAA,48.9,2343.0,East Anglian Region,HE Qualification,Pass
113295,AAA,77.3,3553.0,Yorkshire Region,Lower Than A Level,Pass
114017,AAA,72.3,757.0,North Region,Post Graduate Qualification,Pass
114999,AAA,70.8,1358.0,Yorkshire Region,HE Qualification,Pass
116541,AAA,59.8,1886.0,Wales,HE Qualification,Pass
116692,AAA,74.2,1108.0,East Anglian Region,A Level or Equivalent,Pass
118983,AAA,59.00000000000001,284.0,East Midlands Region,HE Qualification,Pass
123044,AAA,70.69999999999999,2041.0,South Region,A Level or Equivalent,Pass
127582,AAA,69.4,1321.0,East Midlands Region,A Level or Equivalent,Pass
132976,AAA,67.3,520.0,East Anglian Region,Lower Than A Level,Pass
134143,AAA,83.8,2732.0,South East Region,A Level or Equivalent,Distinction
137873,AAA,81.7,5528.0,South West Region,A Level or Equivalent,Pass
141355,AAA,72.0,1823.0,East Midlands Region,A Level or Equivalent,Pass
142326,AAA,75.3,2121.0,North Region,A Level or Equivalent,Pass
144801,AAA,70.60000000000001,5645.0,South Region,HE Qualification,Pass
145130,AAA,53.2,452.0,South West Region,HE Qualification,Pass
146188,AAA,48.8,597.0,West Midlands Region,A Level or Equivalent,Fail
147756,AAA,51.3,611.0,North Region,Lower Than A Level,Fail
151358,AAA,49.6,270.0,London Region,A Level or Equivalent,Pass
155550,AAA,66.0,1529.0,London Region,A Level or Equivalent,Pass
155854,AAA,79.4,4003.0,East Midlands Region,A Level or Equivalent,Pass
157568,AAA,68.60000000000001,1405.0,South West Region,A Level or Equivalent,Pass
164259,AAA,70.4,466.0,Scotland,A Level or Equivalent,Pass
167906,AAA,70.9,1510.0,Yorkshire Region,A Level or Equivalent,Pass
168936,AAA,64.9,745.0,West Midlands Region,Lower Than A Level,Pass
172112,AAA,71.1,1939.0,Ireland,HE Qualification,Pass
172797,AAA,61.400000000000006,1782.0,Ireland,A Level or Equivalent,Pass
174782,AAA,80.1,6318.0,East Anglian Region,HE Qualification,Pass
175392,AAA,81.7,4447.0,North Region,HE Qualification,Pass
175932,AAA,78.8,2016.0,North Western Region,HE Qualification,Pass
175991,AAA,36.0,138.0,North Western Region,A Level or Equivalent,Fail
180753,AAA,51.7,2012.0,South West Region,A Level or Equivalent,Pass
183096,AAA,54.0,1975.0,South West Region,A Level or Equivalent,Pass
183947,AAA,46.6,964.0,London Region,A Level or Equivalent,Pass
184271,AAA,58.7,1312.0,South West Region,HE Qualification,Pass
185439,AAA,7.4,427.0,London Region,HE Qualification,Fail
186149,AAA,75.6,2136.0,Scotland,HE Qualification,Pass
187100,AAA,89.4,8562.0,South East Region,A Level or Equivalent,Distinction
189879,AAA,78.80000000000001,1541.0,Scotland,A Level or Equivalent,Pass
192183,AAA,66.7,3219.0,South West Region,Lower Than A Level,Pass
200860,AAA,50.8,534.0,London Region,Lower Than A Level,Pass
205350,AAA,72.2,1665.0,South West Region,HE Qualification,Pass
205719,AAA,27.3,333.0,East Anglian Region,A Level or Equivalent,Fail
227499,AAA,83.5,2953.0,London Region,A Level or Equivalent,Distinction
227517,AAA,61.7,1205.0,Ireland,HE Qualification,Fail
228082,AAA,74.8,227.0,London Region,HE Qualification,Pass
228222,AAA,60.7,445.0,East Midlands Region,Lower Than A Level,Pass
229179,AAA,65.1,614.0,West Midlands Region,A Level or Equivalent,Pass
229361,AAA,77.5,1215.0,East Midlands Region,A Level or Equivalent,Pass
231554,AAA,52.8,1839.0,London Region,A Level or Equivalent,Pass
236284,AAA,75.5,732.0,Scotland,Post Graduate Qualification,Pass
238007,AAA,79.5,1935.0,South Region,HE Qualification,Pass
240712,AAA,74.2,321.0,London Region,HE Qualification,Pass
240884,AAA,56.400000000000006,427.0,South Region,A Level or Equivalent,Pass
241649,AAA,78.80000000000001,1892.0,East Anglian Region,HE Qualification,Pass
241729,AAA,59.6,1829.0,East Midlands Region,HE Qualification,Fail
242793,AAA,79.2,658.0,London Region,HE Qualification,Pass
246834,AAA,54.8,1174.0,South West Region,A Level or Equivalent,Pass
248270,AAA,78.89999999999999,1969.0,North Western Region,Lower Than A Level,Pass
255548,AAA,68.4,2580.0,Wales,Lower Than A Level,Pass
256815,AAA,77.7,1481.0,North Western Region,HE Qualification,Pass
258392,AAA,59.10000000000001,844.0,West Midlands Region,Lower Than A Level,Pass
258894,AAA,64.39999999999999,4963.0,East Anglian Region,Lower Than A Level,Pass
262011,AAA,72.1,1066.0,East Midlands Region,A Level or Equivalent,Pass
262934,AAA,76.0,2407.0,North Western Region,A Level or Equivalent,Pass
268073,AAA,75.5,3210.0,East Anglian Region,A Level or Equivalent,Fail
271251,AAA,76.9,3348.0,Scotland,A Level or Equivalent,Pass
279572,AAA,79.6,1183.0,London Region,Lower Than A Level,Distinction
281022,AAA,73.8,492.0,Scotland,A Level or Equivalent,Pass
281250,AAA,54.3,130.0,Wales,Lower Than A Level,Fail
282821,AAA,58.8,1961.0,South West Region,A Level or Equivalent,Pass
286488,AAA,73.5,1046.0,South East Region,A Level or Equivalent,Pass
287548,AAA,67.9,483.0,East Anglian Region,A Level or Equivalent,Pass
290201,AAA,69.8,1740.0,Wales,A Level or Equivalent,Pass
290757,AAA,74.5,652.0,North Western Region,A Level or Equivalent,Pass
291334,AAA,82.9,5231.0,South East Region,A Level or Equivalent,Distinction
293699,AAA,41.5,187.0,East Midlands Region,A Level or Equivalent,Pass
294570,AAA,78.7,1775.0,South East Region,HE Qualification,Pass
294594,AAA,51.00000000000001,865.0,South East Region,A Level or Equivalent,Pass
295741,AAA,51.900000000000006,709.0,South East Region,A Level or Equivalent,Fail
296332,AAA,84.3,2152.0,South Region,Post Graduate Qualification,Distinction
298696,AAA,81.8,514.0,South East Region,HE Qualification,Pass
300398,AAA,78.3,1997.0,West Midlands Region,A Level or Equivalent,Pass
302302,AAA,29.4,513.0,East Anglian Region,A Level or Equivalent,Fail
305152,AAA,6.4,146.0,North Western Region,A Level or Equivalent,Fail
305386,AAA,78.10000000000001,1277.0,West Midlands Region,A Level or Equivalent,Pass
306107,AAA,54.9,987.0,West Midlands Region,A Level or Equivalent,Pass
306466,AAA,82.60000000000001,1220.0,East Anglian Region,A Level or Equivalent,Pass
306897,AAA,60.900000000000006,2742.0,London Region,A Level or Equivalent,Pass
307061,AAA,81.30000000000001,1081.0,East Midlands Region,HE Qualification,Pass
307866,AAA,43.3,1476.0,West Midlands Region,A Level or Equivalent,Pass
311917,AAA,60.400000000000006,2230.0,South West Region,A Level or Equivalent,Pass
312537,AAA,87.80000000000001,12882.0,South Region,Post Graduate Qualification,Distinction
312782,AAA,58.5,281.0,South Region,A Level or Equivalent,Pass
318933,AAA,66.6,1281.0,East Anglian Region,HE Qualification,Pass
319047,AAA,78.6,6589.0,East Midlands Region,A Level or Equivalent,Pass
321942,AAA,80.2,10083.0,South Region,HE Qualification,Pass
324002,AAA,80.19999999999999,1901.0,East Anglian Region,HE Qualification,Pass
324084,AAA,57.5,1961.0,South West Region,A Level or Equivalent,Pass
324282,AAA,64.6,133.0,South East Region,A Level or Equivalent,Pass
332789,AAA,75.10000000000001,1655.0,East Anglian Region,A Level or Equivalent,Pass
333059,AAA,62.6,301.0,Scotland,A Level or Equivalent,Pass
333323,AAA,74.2,648.0,Scotland,HE Qualification,Pass
334259,AAA,15.5,332.0,London Region,A Level or Equivalent,Fail
336207,AAA,67.4,1316.0,East Anglian Region,A Level or Equivalent,Pass
339972,AAA,47.8,333.0,North Region,A Level or Equivalent,Pass
341872,AAA,63.8,201.0,East Anglian Region,Lower Than A Level,Fail
342514,AAA,78.4,1950.0,Scotland,Lower Than A Level,Pass
342972,AAA,61.5,838.0,Yorkshire Region,HE Qualification,Pass
343446,AAA,79.60000000000001,3644.0,Ireland,HE Qualification,Pass
344282,AAA,47.4,65.0,Yorkshire Region,A Level or Equivalent,Fail
345068,AAA,79.5,547.0,East Anglian Region,A Level or Equivalent,Pass
345357,AAA,82.0,2219.0,Yorkshire Region,A Level or Equivalent,Distinction
346025,AAA,82.4,569.0,East Anglian Region,A Level or Equivalent,Pass
350188,AAA,73.4,761.0,North Western Region,HE Qualification,Pass
357668,AAA,29.3,166.0,Yorkshire Region,A Level or Equivalent,Fail
364177,AAA,48.8,821.0,East Anglian Region,Lower Than A Level,Fail
365244,AAA,55.6,891.0,London Region,A Level or Equivalent,Pass
365642,AAA,70.4,2129.0,East Anglian Region,Lower Than A Level,Pass
366483,AAA,77.0,1465.0,South West Region,HE Qualification,Pass
368194,AAA,49.1,437.0,South West Region,A Level or Equivalent,Pass
368824,AAA,53.70000000000001,292.0,Wales,HE Qualification,Fail
368963,AAA,67.4,677.0,Yorkshire Region,Lower Than A Level,Pass
376439,AAA,87.3,2342.0,North Region,HE Qualification,Distinction
376581,AAA,73.0,2333.0,South Region,A Level or Equivalent,Pass
